,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,distance_btw_lax,accommodates,bedrooms,beds,bathrooms,amenity_num,review_scores_rating,price
0,4495,0,1.0,1.0,5,33.98209,-118.38493999999999,5.000751056752906,6,2.0,3.0,2.0,338,80.0,115.0
1,4481,0,1.0,1.0,6,34.165620000000004,-118.33458,25.832095189201947,6,3.0,3.0,1.0,642,97.0,176.0
2,4414,1,2.0,2.0,7,34.09768,-118.34602,18.291400964394665,1,1.0,1.0,1.5,660,97.0,67.0
3,4413,0,2.0,2.0,8,34.00475,-118.48127,9.715794296934087,1,1.0,1.0,1.0,233,94.0,155.0
4,4405,0,1.0,1.0,4,33.87619,-118.11397,28.14540188133732,2,1.0,1.0,1.0,363,-1.0,50.0
5,4244,1,8.0,8.0,9,33.9875,-118.432,5.54666712824849,2,1.0,1.0,1.0,343,96.0,55.0
6,4244,1,8.0,8.0,9,33.9875,-118.432,5.54666712824849,3,1.0,1.0,1.0,333,95.0,71.0
7,4244,1,8.0,8.0,9,33.9875,-118.432,5.54666712824849,4,2.0,2.0,1.0,512,92.0,135.0
8,4221,0,15.0,15.0,7,34.16825,-118.64438,33.28760493901467,3,1.0,1.0,1.0,537,88.0,89.0
9,4414,1,2.0,2.0,7,34.095209999999994,-118.34801000000002,17.973105858041357,1,1.0,2.0,1.5,592,97.0,67.0
10,4142,1,3.0,3.0,6,33.8761,-118.11509,28.04815121605022,2,1.0,1.0,1.0,245,98.0,45.0
11,4138,1,2.0,2.0,8,34.115429999999996,-118.2609,23.642609194748733,4,1.0,2.0,1.0,766,99.0,89.0
12,4105,1,1.0,1.0,4,33.993990000000004,-118.45636999999999,7.311520852386063,2,-1.0,2.0,1.0,371,94.0,122.0
13,4098,0,1.0,1.0,5,33.772059999999996,-118.18893,27.693971292088612,2,1.0,1.0,1.5,741,95.0,80.0
14,4089,0,2.0,2.0,9,33.99638,-118.47733999999998,8.80074605531126,1,1.0,1.0,1.0,323,94.0,85.0
15,4084,1,4.0,4.0,6,33.838229999999996,-118.38569,11.68913044616901,1,1.0,1.0,1.5,215,97.0,50.0
16,4051,0,1.0,1.0,6,34.05437,-118.35641000000001,13.431695171297116,2,1.0,2.0,2.0,498,99.0,74.0
17,4041,1,2.0,2.0,3,34.11479,-118.32288999999999,20.817731578453095,2,1.0,1.0,1.0,386,97.0,195.0
18,4088,1,3.0,3.0,4,33.99753,-118.47226,8.56129170496154,1,-1.0,2.0,1.0,390,96.0,75.0
19,4013,1,1.0,1.0,4,34.058640000000004,-118.34352,14.331143093711658,5,2.0,3.0,1.0,561,98.0,155.0
20,4084,1,4.0,4.0,6,33.83847,-118.38521999999999,11.67078733384194,4,1.0,1.0,1.0,446,97.0,175.0
21,3986,1,9.0,9.0,6,34.11959,-118.32056000000001,21.393120783659796,2,1.0,1.0,1.0,301,99.0,277.0
22,4084,1,4.0,4.0,6,33.83984,-118.3871,11.489920128830391,4,1.0,1.0,1.0,509,96.0,175.0
23,3983,0,2.0,2.0,6,33.84042,-118.32061999999999,13.874320085662157,2,1.0,1.0,1.0,286,100.0,95.0
24,3973,1,3.0,3.0,9,34.04244,-118.3522,12.35985781672505,2,1.0,1.0,1.0,486,96.0,120.0
25,3970,1,1.0,1.0,5,34.16701,-118.41118,25.073533085864277,6,2.0,5.0,1.0,369,100.0,438.0
26,3932,0,3.0,3.0,10,33.99179,-118.45056000000001,6.798553219978677,7,3.0,0.0,2.0,508,100.0,300.0
27,3932,0,3.0,3.0,10,33.99065,-118.44962,6.644955129495304,5,2.0,2.0,1.0,588,86.0,214.0
28,3914,1,2.0,2.0,5,34.08521,-118.28338000000001,19.703750139627807,2,1.0,1.0,1.0,180,97.0,75.0
29,3907,1,1.0,1.0,5,33.98065,-118.46518999999999,6.798453117250775,2,1.0,1.0,1.0,350,98.0,124.0
30,3986,1,9.0,9.0,6,34.11939,-118.32043999999999,21.376737038737197,2,1.0,1.0,1.0,224,99.0,201.0
31,3887,0,3.0,3.0,3,34.19794,-118.22478999999998,33.15843670290214,2,1.0,2.0,1.0,104,98.0,75.0
32,3887,0,3.0,3.0,3,34.198209999999996,-118.22438999999999,33.203064860063265,2,1.0,0.0,1.0,159,97.0,100.0
33,3986,1,9.0,9.0,6,34.11821,-118.32178,21.20853070703395,2,1.0,1.0,1.0,272,97.0,168.0
34,3873,0,1.0,1.0,3,34.103120000000004,-118.25778000000001,22.71203162984682,2,-1.0,1.0,1.0,301,93.0,103.0
35,3869,1,2.0,2.0,5,34.12003,-118.19038,28.25168394969365,2,1.0,1.0,1.0,312,98.0,128.0
36,3866,1,8.0,8.0,5,34.00416,-118.46602,8.750601867457785,2,1.0,1.0,1.0,284,98.0,312.0
37,3986,1,9.0,9.0,6,34.11861,-118.32019,21.305310693147163,2,1.0,1.0,1.0,272,98.0,178.0
38,3865,0,1.0,1.0,4,33.98798,-118.47301000000002,7.87591638720004,2,1.0,1.0,1.0,347,97.0,130.0
39,4048,1,3.0,3.0,5,33.831790000000005,-118.38328,12.434161736722464,2,1.0,1.0,1.0,585,94.0,143.0
40,3860,1,1.0,1.0,3,34.1078,-118.21864,25.45756126629737,5,2.0,2.0,1.0,432,100.0,324.0
41,3856,0,2.0,2.0,7,34.04123,-118.45496999999999,11.88163751760959,6,3.0,3.0,2.5,640,90.0,325.0
42,3844,1,3.0,3.0,4,34.02361,-118.3871,9.333055495821485,3,1.0,2.0,1.0,147,99.0,130.0
43,3841,0,2.0,2.0,4,34.047270000000005,-118.44058000000001,12.120256689655108,1,1.0,1.0,1.0,397,88.0,96.0
44,3841,0,1.0,1.0,5,34.08044,-118.29805,18.49859859350145,2,-1.0,1.0,1.0,536,94.0,135.0
45,4221,0,15.0,15.0,7,34.166779999999996,-118.64374,33.12544066460364,2,1.0,0.0,1.0,361,94.0,65.0
46,3841,0,2.0,2.0,4,34.04636,-118.44043,12.018731820662056,1,1.0,1.0,1.0,324,-1.0,94.0
47,3844,1,3.0,3.0,4,34.02355,-118.38688,9.330848212736726,2,1.0,2.0,1.0,110,99.0,115.0
48,3798,1,1.0,1.0,5,34.01142,-118.47957,10.162951228957148,2,1.0,1.0,1.0,206,99.0,87.0
