,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,neighborhood_matched,property_type,room_type,maximum_nights,minimum_nights,number_of_reviews,number_of_reviews_l30d,negiborhood_frequency
0,-1,-1.0,0.0,Culver City,True,1,1,730,30,2,0,307
1,3,0.7,0.36,Burbank,True,1,1,14,2,8,0,331
2,1,1.0,1.0,Hollywood,True,2,2,366,30,26,1,1616
3,2,0.93,0.57,Santa Monica,True,2,2,180,1,21,0,1184
4,-1,-1.0,-1.0,Bellflower,True,1,1,730,30,0,0,29
5,1,1.0,0.95,Del Rey,True,2,2,1125,30,310,0,239
6,1,1.0,0.95,Del Rey,True,2,2,1125,30,230,0,239
7,1,1.0,0.95,Del Rey,True,1,1,90,4,127,0,239
8,1,1.0,0.93,Woodland Hills,False,1,1,29,5,25,0,290
9,1,1.0,1.0,Hollywood,True,2,2,366,30,21,1,1616
10,1,1.0,1.0,Bellflower,True,2,2,730,1,12,0,29
11,2,1.0,0.99,Atwater Village,True,1,1,1125,3,240,0,89
12,-1,-1.0,0.84,Venice,True,1,1,22,3,401,0,1701
13,-1,-1.0,1.0,Long Beach,True,2,2,1125,2,393,0,1573
14,3,1.0,1.0,Venice,True,2,2,730,30,47,0,1701
15,1,1.0,0.98,Redondo Beach,True,2,2,1125,1,137,0,342
16,-1,-1.0,-1.0,Mid-Wilshire,True,2,2,1125,30,45,0,514
17,2,1.0,1.0,Hollywood Hills,True,1,1,365,30,7,0,787
18,2,1.0,0.47,Venice,True,1,1,150,30,45,0,1701
19,-1,-1.0,0.75,Mid-Wilshire,True,1,1,120,31,10,0,514
20,1,1.0,0.98,Redondo Beach,True,1,1,1125,2,172,1,342
21,1,1.0,1.0,Hollywood Hills,True,1,1,365,4,27,0,787
22,1,1.0,0.98,Redondo Beach,True,1,1,1125,2,158,1,342
23,-1,-1.0,1.0,Torrance,True,2,2,60,2,1,0,295
24,1,1.0,0.74,Mid-City,True,1,1,365,3,70,1,397
25,1,1.0,0.83,Valley Village,True,2,2,28,2,4,0,128
26,2,1.0,0.82,Venice,True,1,1,21,2,2,0,1701
27,2,1.0,0.82,Venice,True,1,1,21,2,48,0,1701
28,1,0.86,1.0,Silver Lake,True,2,2,365,2,253,1,498
29,1,1.0,0.91,Venice,True,1,1,15,3,480,1,1701
30,1,1.0,1.0,Hollywood Hills,True,1,1,60,5,29,0,787
31,3,0.63,0.24,Glendale,True,2,2,730,7,19,0,556
32,3,0.63,0.24,Glendale,True,1,1,730,7,15,0,556
33,1,1.0,1.0,Hollywood Hills,True,1,1,99,5,41,0,787
34,1,1.0,0.97,Silver Lake,True,1,1,30,3,166,0,498
35,-1,-1.0,1.0,Highland Park,True,1,1,1125,1,225,0,184
36,1,0.99,0.93,Venice,True,1,1,90,3,110,2,1701
37,1,1.0,1.0,Hollywood Hills,True,1,1,355,7,26,1,787
38,2,1.0,0.83,Venice,True,1,1,365,30,280,0,1701
39,1,1.0,1.0,Redondo Beach,True,1,1,365,4,342,1,342
40,1,1.0,0.86,Mount Washington,True,1,1,185,30,115,0,97
41,1,1.0,0.83,Sawtelle,False,1,1,9,3,2,1,476
42,2,1.0,0.7,Culver City,True,2,2,365,1,121,0,307
43,3,1.0,0.25,West Los Angeles,False,1,1,1125,1,18,0,157
44,3,0.54,0.62,East Hollywood,False,1,1,60,2,221,0,526
45,1,1.0,0.93,Woodland Hills,False,2,2,60,29,30,0,290
46,3,1.0,0.25,West Los Angeles,False,2,2,30,3,0,0,157
47,2,1.0,0.7,Culver City,True,2,2,365,1,75,0,307
48,2,1.0,0.5,Santa Monica,True,2,2,365,30,67,0,1184
49,-1,-1.0,-1.0,Los Feliz,True,2,2,60,30,186,0,333
50,2,1.0,0.33,Tarzana,True,1,1,365,56,20,0,125
51,1,0.97,0.96,Culver City,True,1,1,30,2,130,2,307
52,1,1.0,0.71,Mar Vista,True,2,2,1125,1,97,2,327
53,2,1.0,0.89,Malibu,True,1,1,200,2,332,0,398
54,4,0.43,-1.0,Santa Monica,True,1,1,1125,31,0,0,1184
